LATITUDE,LONGITUDE,SAMPLE_TIME_UTC,FUNCTIONAL_GROUP,TAXON_NAME,ABUNDANCE_M3,PROJECTNUMBER
-12,141,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus subtilis,1.1,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Subeucalanus mucronatus,1.1,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Subeucalanus subcrassus,2.3,1
-12,141,1975-08-01T00:00:00Z,Harpacticoid,Euterpina acutifrons,6.3,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Labidocera bengalensis,2.9,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Lucicutia tranteri (invalid),8.7,1
-12,141,1975-08-01T00:00:00Z,Harpacticoid,Macrosetella gracilis,4.6,1
-12,141,1975-08-01T00:00:00Z,Harpacticoid,Microsetella rosea,0.6,1
-12,141,1975-08-01T00:00:00Z,Cyclopoid,Oithona plumifera,22.8,1
-12,141,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea clevei complex,25.1,1
-12,141,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea media complex,47.4,1
-12,141,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea venusta complex,86.3,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Scolecithricella orientalis,4.6,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,2.9,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Temora turbinata,1.1,1
-12,141,1975-08-01T00:00:00Z,Calanoid,Undinula vulgaris,1.1,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,3.4,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Temora turbinata,78.3,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus andrewsi,4,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus catus,2.2,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus dahli,20,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus erythraeus,13.7,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Parvocalanus elegans,27.7,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Parvocalanus latus,5.7,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Centropages furcatus,2.9,1
-12.25,141.5,1975-08-01T00:00:00Z,Harpacticoid,Clytemnestra scutellata,2.3,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Copilia mirabilis,1.7,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus agilis,6.9,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Calanopia aurivilli,4.6,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Calanopia elliptica,1.1,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Candacia catula,0.6,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Candacia discaudata,5.7,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Canthocalanus pauper,96.6,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Parvocalanus crassirostris,0.6,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Acrocalanus gibber,54.3,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Acrocalanus longicornis,138.9,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea clevei complex,123,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea media complex,54.3,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea venusta complex,2.3,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Paracalanus aculeatus,81.4,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Paracalanus denudatus,48.5,1
-12.25,141.5,1975-08-01T00:00:00Z,Cyclopoid,Oithona attenuata typical,31.4,1
-12.25,141.5,1975-08-01T00:00:00Z,Cyclopoid,Oithona plumifera,91.2,1
-12.25,141.5,1975-08-01T00:00:00Z,Harpacticoid,Euterpina acutifrons,71.4,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Labidocera bengalensis,1,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Labidocera kroyeri stylifera,0.6,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Lucicutia tranteri (invalid),11.7,1
-12.25,141.5,1975-08-01T00:00:00Z,Harpacticoid,Macrosetella gracilis,25.7,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus lubbocki,1.1,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus pacificus,1.1,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Corycaeus speciosus,3.4,1
-12.25,141.5,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus subtilis,2.3,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Subeucalanus mucronatus,0.6,1
-12.25,141.5,1975-08-01T00:00:00Z,Calanoid,Subeucalanus subcrassus,6.3,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Pontellopsis herdmani,0.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,6.3,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Temora turbinata,72,1
-13.5,136.4,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus andrewsi,9.7,1
-13.5,136.4,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus asiaticus,2.9,1
-13.5,136.4,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus erythraeus,6.3,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Parvocalanus latus,8,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Centropages furcatus,7.4,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Clausocalanus furcatus,0.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Harpacticoid,Clytemnestra scutellata,1.1,1
-13.5,136.4,1975-08-01T00:00:00Z,Poecilostomatoida,Copilia mirabilis,0.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Calanopia aurivilli,3.4,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Candacia bradyi,3.4,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Canthocalanus pauper,55.4,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Parvocalanus crassirostris,12,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Acartia (Odontacartia) pacifica,27.4,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Acrocalanus gibber,36.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea clevei complex,8.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Paracalanus aculeatus,231.4,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Candacia truncata,0.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Harpacticoid,Microsetella rosea,0.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Cyclopoid,Oithona plumifera,1.1,1
-13.5,136.4,1975-08-01T00:00:00Z,Cyclopoid,Dioithona rigida,29.1,1
-13.5,136.4,1975-08-01T00:00:00Z,Cyclopoid,Oithona simplex,1.1,1
-13.5,136.4,1975-08-01T00:00:00Z,Harpacticoid,Euterpina acutifrons,21.1,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Labidocera acuta,0.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Poecilostomatoida,Corycaeus sewelli (invalid),37.1,1
-13.5,136.4,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus subtilis,1.1,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Subeucalanus mucronatus,0.6,1
-13.5,136.4,1975-08-01T00:00:00Z,Calanoid,Subeucalanus subcrassus,35.4,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Sapphirina nigromaculata,0.6,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Scolecithricella orientalis,2.3,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Temora turbinata,4,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus andrewsi,1.7,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus erythraeus,2.3,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Parvocalanus latus,27.4,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Centropages furcatus,3.4,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Clausocalanus furcatus,7.4,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Clausocalanus minor,5.1,1
-14,137,1975-08-01T00:00:00Z,Harpacticoid,Clytemnestra scutellata,1.7,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus agilis,1.7,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Calocalanus plumulosus,0.6,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Candacia discaudata,2.3,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Parvocalanus crassirostris,5.7,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Acartia (Odontacartia) amboinensis,1.7,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Acrocalanus gibber,9.1,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Acrocalanus gracilis,5.1,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Acrocalanus longicornis,9.7,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea clevei complex,89.7,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Oncaea venusta complex,1.1,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Paracalanus denudatus,6.9,1
-14,137,1975-08-01T00:00:00Z,Harpacticoid,Microsetella rosea,5.1,1
-14,137,1975-08-01T00:00:00Z,Cyclopoid,Oithona attenuata typical,6.9,1
-14,137,1975-08-01T00:00:00Z,Cyclopoid,Dioithona rigida,1.1,1
-14,137,1975-08-01T00:00:00Z,Harpacticoid,Euterpina acutifrons,75.4,1
-14,137,1975-08-01T00:00:00Z,Calanoid,Labidocera minuta,1.7,1
-14,137,1975-08-01T00:00:00Z,Harpacticoid,Macrosetella gracilis,14.9,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus lubbocki,0.6,1
-14,137,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus subtilis,0.6,1
-14,138,1975-08-01T00:00:00Z,Calanoid,Pontellopsis herdmani,0.3,1
-14,138,1975-08-01T00:00:00Z,Calanoid,Scolecithricella orientalis,2.5,1
-14,138,1975-08-01T00:00:00Z,Calanoid,Temora discaudata,3.3,1
-14,138,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus asiaticus,1.8,1
-14,138,1975-08-01T00:00:00Z,Poecilostomatoida,Onychocorycaeus catus,1,1
-14,138,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus dahli,0.8,1
-14,138,1975-08-01T00:00:00Z,Poecilostomatoida,Ditrichocorycaeus erythraeus,2.3,1
-14,138,1975-08-01T00:00:00Z,Calanoid,Parvocalanus elegans,0.3,1
-14,138,1975-08-01T00:00:00Z,Calanoid,Centropages furcatus,2,1
-14,138,1975-08-01T00:00:00Z,Harpacticoid,Clytemnestra scutellata,2.5,1
